Username,followers_old,size_old,found,UserID,is_private,mediacount,followers_new,followees,external_url,is_business_account,business_category_name,biography,full_name,is_verified,profile_pic_url,size_new
dawnsmith_art,8600,nano,TRUE,1244036283,FALSE,626,8695,1326,http://www.dawnmariesmith.com/,TRUE,Creators & Celebrities,presenting a sickeningly cute and strange pageantry of self-indulgent eye candy for your consuming pleasure. -vegan feminist anarchist nightmare.,Dawn Smith,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/161646812_1186975465091420_7578967238307733457_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=HSf7yfEchJIAX-iu8FO&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDOVmHrnW2NBltGn1LOz4EY5Vi3TEQ7XuI8CZntNQ5v5A&oe=64138021&_nc_sid=035b3a,nano
jennywiththegoodeats,9400,nano,TRUE,505620293,FALSE,2159,9333,2685,https://www.eventbrite.com/e/kingmas-market-to-table-local-flavor-dinner-tickets-428501237737,FALSE,None,"Cook, Dietitian, @grandrapidscc Instructor 👩‍🏫\n@foodnetwork SMSO Champ 🏆\n@puremichigan 📍\nPlay nice ❤️🌈","Chef Jenn Struik, MS, RD",FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/277926313_519636999755023_1505932301373809957_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=QrCTgpdL1Z0AX_-lLjY&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDArkuF5WkMGi86Dta2Tu7tlPxoLisa3GCeGuGk5AkT5w&oe=6411CC4D&_nc_sid=035b3a,nano
yesidonails.thenorthsidebarbie,9400,nano,TRUE,24608587,FALSE,4845,9581,1348,https://linktr.ee/yesidonails,TRUE,Lifestyle Services,All the girls with flavor come from the Neighborhood  XoXo #HollyHoodJio #thenorthsidebarbie\nBOOK HERE⬇️,YesIDoNails#TheNorthSideBarbie,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/221375153_2900029663573906_2573769047148528248_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WSaUr8-I0TEAX8tQjq7&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfD5MQBUlG5gcToHuzIJcjq_qchwAT0Uh6r_l5Gw_9BZ9w&oe=6412CA09&_nc_sid=035b3a,nano
katrinastepanianbennett,8300,nano,TRUE,2298643726,FALSE,3665,7992,1524,https://msha.ke/katrinastepanianbennett,TRUE,Creators & Celebrities,Social Media Manager & Virtual Assistant \n@imkatrinasb @flippingthroughfiction \nWife | IVF Mama | Bookworm\n⤹ Links are here!,KATRINA || MOTHERHOOD,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/310444131_647043107043079_3707086628660292138_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=-FTPiHj82TsAX-1cMR7&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCglkoqzkHir0JzRDOPd_wXnXdi9ZoVh3p6wCNJ6I6x1Q&oe=641330E7&_nc_sid=035b3a,nano
sydnijfit,8300,nano,TRUE,52335205,FALSE,6257,8769,7306,None,FALSE,None,FITNESS INSTRUCTOR/PT🥊🏋💪\n@jabsgym\nPRO-MUA💄💋🪞\n @facesbysydnij\nBET*TVONE*BRAVO*VH1*FOX*NBC*INSTYLE MAGAZINE FEATURE,Sydni Jones,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/118232327_1772844899532931_5940283800665142830_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=paxRkFMu5QsAX8DtK5E&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDivRNwX58lvzShaxSeJj_OHvY0IhbBHOOqG4sImuisFA&oe=6411FB80&_nc_sid=035b3a,nano
elmafit_ish,8600,nano,TRUE,390307392,FALSE,2868,9124,1812,None,FALSE,None,"📍 𝓓𝓮𝓽𝓻𝓸𝓲𝓽 🏡 Janja, BIH 🇧🇦 \n🌍 Adventure 🌍  \n🏋️‍♂️ personal trainer/nutrition coach",𝓔𝓵𝓶𝓪 𝓐𝓭𝓪𝓷𝓪𝓵𝓲𝓬 ‘🇧🇦,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/334846772_224676840124651_6172014144267199177_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=1fr5fnvdkUUAX9OwmCF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAe1xgejtFaV1EB3aEpXr_r7kjy9iSfVdCqP6kbPmmCjA&oe=64129C88&_nc_sid=035b3a,nano
joetattcruz,8800,nano,TRUE,8313189453,FALSE,245,14655,1290,https://gofund.me/bcdc8b76,TRUE,General Interest,@gift_of_design \nCreating art since 91’ \nTattcruz.art@gmail.com\nOntario CA Black&Grey ONLY,Joey cruz,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/284017160_150766427474582_1304301899314157339_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=27KSt8WBy6wAX-HD5vI&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBelUHksgpfN41IzwpdAbQryEwdqR14w7L9LzTkEbCGgQ&oe=64139F2C&_nc_sid=035b3a,mikro
angelawolffashion,8400,nano,TRUE,235028994,FALSE,733,8687,1077,http://linktr.ee/angelawolffashion,FALSE,None,👗Fashion & Pattern Designer \n🎥 It's Sew Easy TV\n✂ Entrepreneur \n📚 Author\n✒Blogger \n🎬 Online Academy\n🐟 @winnangel2 ♥ #angelawolfpatterns #angelawolf,Angela Wolf,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/70694853_540942106715794_1037788081534533632_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=NJshvwo_YD8AX93HfNM&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDfslWxMsrUjBHtQ6PV9dTQR2HYEt235c0B3bqYinJRyA&oe=64137840&_nc_sid=035b3a,nano
andrepelzer_,8200,nano,TRUE,30207237,FALSE,1542,9007,1997,http://www.andrepelzer.com/,TRUE,Creators & Celebrities,"Don’t downgrade your DREAM to fit your reality, Upgrade your conviction to match your DESTINY\nNBC: @brooklyn99 \nCBS:@hawaiifive0cbs @magnumpi \n🎭🎥🎬",Andre Pelzer|SAG-AFTRA,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/159966914_1535689963306569_7444178820197847714_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=xIzqcInvNrYAX9e8r6l&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCZjm-BL_a88xQNsjQeu19kg5yxEnG1RQf1_z_GxTTdeA&oe=6412E62D&_nc_sid=035b3a,nano
_universe_of_brunette,9300,nano,TRUE,6728242680,FALSE,186,9336,1486,None,FALSE,None,To create a future nothing could be better than your dream. Those things which today seem utopian tomorrow will find flesh and blood.(Victor Hugo),NA,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/277591064_180505010966679_1439953722790746823_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=sIbDZnq9hAMAX_zBNHK&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCnBcEoarO8UTvRWDe2WyU5bKpWODyGanSVa26aB45jaw&oe=6413760F&_nc_sid=035b3a,nano
groverellisor,9300,nano,TRUE,29220711,FALSE,129,9158,1022,https://www.imdb.me/grover-ellisor,TRUE,Creators & Celebrities,🎬 actor\n✍🏼 writer\n🎨 creator\n@LotusLandTV,Grover Ellisor,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/242223876_225382916278833_3752068485835326685_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=bN_MvUY6SMEAX9BMaSF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCOj62miwxstnb9ba9T-JIh1yzZ81rB9SCrSeEb1JUukg&oe=641381EF&_nc_sid=035b3a,nano
mylifeaslilyj,8500,nano,TRUE,7433671,FALSE,1387,4504,746,http://www.mylifeaslily.com/,FALSE,None,"Here to encourage fellow believers, teach God’s word and share my personal testimony as a living witness of His son, Jesus Christ",Lily | Disciple of Christ,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/320514062_712953413553485_2451111279881235720_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=B81iPiwBkN8AX-GD3Ci&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDDhs8oELc3cC0ZYl1hkSg9HAzlV7z493pHn3tq2OPQAg&oe=6412236D&_nc_sid=035b3a,nano
joshua.aaron369719,8400,nano,TRUE,372469841,FALSE,1677,9456,2310,https://joshuaaaronkaltved.co/,TRUE,Creators & Celebrities,"Donation-based information, for research & development, use at your own discretion go to @theamericanlegacyassociation Book me @ joshuaaaronkaltved.co",Chief Joshua Bey,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/72752810_1014768895546188_5258549002768482304_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=2bhRpoeGPD0AX9fQF0s&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAYBiq2QvntetM79fFU0gzE2WMogF5MEED-dSX6UQ9OcQ&oe=641293CD&_nc_sid=035b3a,nano
thebenkaplan,9400,nano,TRUE,248347934,FALSE,517,9307,5082,http://www.thebenkaplan.com/,FALSE,None,Actor. Comedian. Filmmaker. Medium shirt with large dreams.,Ben Kaplan,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/286059297_404880424878939_7868698188297531216_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=q2YF_upqmIMAX8OGVxb&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBPlUhcogUoqohIHZiILaHrcUsDni4VKPd5qRrs4G8TMQ&oe=641242FB&_nc_sid=035b3a,nano
samuelmasonpaul,9200,nano,TRUE,7915484748,FALSE,177,8929,652,http://samuelmasonpaul.com/,TRUE,Creators & Celebrities,Devon on @hallmarkchannel ‘s JL Family Ranch \nActing 🎬 Soccer ⚽ Basketball 🏀 Skateboarding 🛹 Fortnite 🎮\nBooking agent: Dawn@OsbrinkAgency.com,Samuel Mason Paul,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/35459215_262086091004668_7127857072229580800_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=bgcvlmI9IjkAX9e7Vlo&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBjtHRvY2yB3LgggaJ0QJ4eZa-7PpgExWM-mY8P_-ARBQ&oe=6412632A&_nc_sid=035b3a,nano
the_nourishingproject,5500,nano,TRUE,5780423016,FALSE,233,5469,899,https://bio.site/cassthenourishingproject,FALSE,None,Cass\n✨ taking a social media break,metabolism + women’s health,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/69230292_535835713892265_3527456408276566016_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=FyvUyIkLy2YAX8duXFr&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfARLWwGiuHG_dec3gTh1VmJT_9MOAW_hRZzFPBiL7TRig&oe=6412620F&_nc_sid=035b3a,nano
fitnessfoodiehealthy,6000,nano,TRUE,4501927947,FALSE,349,5907,4736,https://fitness-foodie-healthy.health.blog/,FALSE,None,"🌱 studying naturoapthic medicine\n🌛 fuelling the mind, body, & spirit  \n📍 vancouver, bc\n💡b e c o m i n g","sarah, csep-cpt, bKin",FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/103304960_298195814647043_4369447051177113280_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=HTeyhJX4GIkAX8_BYMI&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCdTMD-afF8gHHhg3xBIOSZtzOA773jKEGDZLWy2HfDIg&oe=641341C8&_nc_sid=035b3a,nano
kellysweetphoto,6100,nano,TRUE,24726566,FALSE,1384,6347,773,http://www.kellysweet.com/blog,FALSE,None,Kelly Sweet\nFine Art Wedding & Portrait Photographer\nSpecializing in Film Photography\ntraveler | animal friend | wine lover | flower fanatic,Michigan Wedding Photographer,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/180775179_494174205103941_2489242119358398447_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=DQ5-NLjN0X8AX-9Sd2-&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCroCxXZJT4cLDII2y302pk-MMKerl2tZcBWIua_QR1aA&oe=6413BA1B&_nc_sid=035b3a,nano
thedalialoc,5400,nano,TRUE,1274233303,FALSE,1764,5333,1085,https://linktr.ee/DaliaLoc,TRUE,Publishers,👩🏻‍🏫I help women over 30 boost their metabolism through holistic living and nutrition to create a healthy lifestyle🫐🍫#rollmodel @mobotnation LINKS⬇️,Holistic Health & Nutrition,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/172110897_1413823985682652_8420354207239892837_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=x75JVL3a3EsAX-GLTx6&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCkM1CfT_IEyUCzuWMVYEV9pnw38fSfTYu9IhhaWX2Jdg&oe=6413B5FF&_nc_sid=035b3a,nano
prenatalfarmacist,5400,nano,TRUE,27045247,FALSE,177,9476,846,https://school.ohbabynutrition.com/a/2147499156/S2fCizXL,FALSE,None,"Holistic pharmacist + nutritionist\nCooking inspiration, but make it nutrient dense!\nPregnancy, postpartum, baby @ohbabynutrition",Lily,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/102710985_2620962004829298_7006491483772186562_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qTpPsE7MG2oAX-SEMp7&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAuDtw1OT-EZ7ikRMViodXjTBWES5wSWYSnOHBHwaylXQ&oe=64134B9F&_nc_sid=035b3a,nano
amyamybobamy,5000,nano,TRUE,3245791494,FALSE,621,5057,528,http://amyamybobamy.com/hello,TRUE,Creators & Celebrities,"✴︎ versatile + colorful art filled with a whole lotta fun\n✦ call me, beep me - amy@amyamybobamy.com",amy o’donnell lueth // murals ✴︎ lettering ✴︎ design,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/159144899_493482115359128_1540612440198449255_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=peORFn83PcIAX_X1Go2&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAdYLOuJYxQSOJPJpuLUJfGV3EtNN2PLbunbS1wf-z6hw&oe=6412C6FA&_nc_sid=035b3a,nano
joealmani,5300,nano,TRUE,212640639,FALSE,297,5273,1349,https://linktr.ee/RazomForUkraine,TRUE,None,NA,Joe,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/300592741_665662744924425_8481025872444663800_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Fa7EHot4Lm4AX9UVXsQ&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfD0X0FvG0NcMaQCrOIpKA0rV5cE26Q2bP0q9IdXO3MTPA&oe=6411E8C9&_nc_sid=5e3072,nano
real_estate_chick,5500,nano,TRUE,32603935,FALSE,2260,5785,1694,https://vimeo.com/244614196,TRUE,None,Your Trusted Michigan Luxury Real Estate Agent✨,Realtor®️✨ (248) 594-7713,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/129074989_571391480392953_1011258231671838334_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=WXxltU4QEYgAX9U8zdt&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfC_WoLKgAHH2wufFUT1Hc9bcXcnyEHcj6757MNFdyyfeQ&oe=64120F58&_nc_sid=5e3072,nano
cinedirector,5200,nano,TRUE,336726278,FALSE,349,5571,1844,https://linktr.ee/ericnguyen12?fbclid=IwAR0L9IO93OOMkZ2jfMkIdaCCTEqFX8qaZvhO6iN2VRNRLt8BSN2F_XGSkNE,FALSE,None,"💥 | #SportsPhotographer #ContentCreator\n🎥 | Content Creator @ufcgym \n📸 | @glidecam Operator\n🎥 | Sony FX9 • Sony A7IV\n📍 | Las Vegas, NV",Eric Nguyen,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/320299557_563990595583367_2478504189520007884_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=O0aD2as9klAAX8cq6en&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfD7WJLSBcuG3nhLzBuqxdiwqKsTQ9bfbH8tQw3Z_ZeBhg&oe=6411CB2F&_nc_sid=5e3072,nano
lindsaytarpley5,5400,nano,TRUE,1508467770,FALSE,232,5901,1631,http://www.lindsaytarpley.com/,FALSE,None,🏅🏅2x Olympic Gold Medalist\n⚽️ Former USWNT Player 🇺🇸\n🏆 FIFA Legend \n🌟 TeamTarpley@livewirese.com                       \nMom | Entrepreneur | Speaker,Lindsay Tarpley,TRUE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/152917307_896740537812493_4039663982349482163_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=skEzx8E-KWYAX9x9Wsx&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfAauy8eB1Zlwu759NIBnD9I1Azn-L2v6Of1o0soViAE8Q&oe=6412D383&_nc_sid=5e3072,nano
elizabethshealthylife,5400,nano,TRUE,7970253585,FALSE,668,5479,793,None,TRUE,None,"💍 👦🏻 👦🏻🤱🏼🐶. Healthy, easy, family recipes always dairy-free. Fitness/Motivation. Pilates Instructor & PT MI. Spinal fusion and chronic pain recovery.",Elizabeth,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/75333944_459304054776409_5556905258241753088_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WivNp-19c4MAX9qA2um&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfC2sCxgW8le0osx1H5VF_A3BO4pkb8kFR6zbldSSGqGvw&oe=6412A1E9&_nc_sid=5e3072,nano
jbatgirlbattle,6000,nano,TRUE,240346182,FALSE,766,6828,451,None,TRUE,None,📍New York City -London -Berlin\nEducator -Traveler -5 Children Later #battle,Joyce Battle,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/84353760_209347583602207_2730196932088561664_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=v2Ig-y0eoCoAX9bqdLY&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfCUuFOPiS7rjLONFyVkzIpe7zMdTutBM_PLuKXPET2eXA&oe=64131906&_nc_sid=5e3072,nano
megancrawshaw,5600,nano,TRUE,32483605,FALSE,442,5578,3166,http://direct.me/megancrawshaw/,TRUE,None,"✨ A little bit of everything\n🍊 JAX, FL\n🌵 Plants, home decor + lifestyle\n🧡 Bohemian vibes\n💌 mcrawsha@gmail.com",Megan | Home Decor + Lifestyle,FALSE,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/203251673_324558022573180_448460919456900898_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Bz49TFUxz_oAX-tu2_U&edm=AKralEIBAAAA&ccb=7-5&oh=00_AfAmKTevCsHjSYCukSJmy6l_4A4WZQB_iYfb3TUTPKN8eg&oe=6413A6FC&_nc_sid=5e3072,nano
